,loglikelihood,Non-Bias,Bias
longer,-0.22776657060493505,53,42
fandom,0.6931645408257223,0,1
teddy,-0.4054477478423875,2,1
bear,-1.4939076650464793,48,10
hug,-0.6190218481404466,12,6
homophobe,1.9459275093210902,0,6
closet,0.6931645408257223,1,3
scene,-1.5163301291023115,40,8
prick,1.7917768294938319,0,5
dog,-1.346431092306914,122,31
kowtow,1.0986296489338867,0,2
note,-1.817059916946568,79,12
timid,1.0986296489338867,0,2
piglet,0.4054824683739413,1,2
wolf,-0.641836525906618,18,9
kr,0.6931645408257223,0,1
building,-1.1592195502187677,101,31
cage,0.9808466132775031,2,7
burning,-0.9808118927459494,15,5
beheading,0.6931645408257223,0,1
atrocity,0.6931645408257223,1,3
ideology,-0.17183289666088233,18,15
despicable,1.6094552726998774,0,4
licence,-0.5108082635002137,4,2
driver,-0.8328917626693271,45,19
gemini,0.4054824683739413,1,2
nut,0.6931645408257223,3,7
language,0.7453502939962925,27,58
mr,-0.505918278206022,135,81
clegg,0.6931645408257223,0,1
cheer,-1.7176341368085561,38,6
hypocrite,3.1355115761949266,0,22
shock,-0.3136401985892646,25,18
algae,0.6931645408257223,0,1
senior,-1.492886735912372,355,79
investigate,-0.8674832074389464,49,20
russia,-0.19609751866051342,72,59
evidence,-0.12258496182655529,25,22
liar,3.2834317062715486,2,79
mirror,0.8473152206529805,8,20
edge,-1.8325641034825333,24,3
mess,0.4700209895115125,19,31
dear,1.211107632360577,13,46
bunch,1.6094552726998774,3,19
govern,1.6094552726998774,1,9
nation,-0.6373013707412267,417,220
va,-0.8773222850239347,427,177
product,-1.1845373582030576,84,25
moment,-1.4970913671944037,142,31
channel,-1.4815871806584386,87,19
dash,-1.6094205521683234,9,1
anxiety,-0.22312619104843281,4,3
whack,1.7360265776985448e-05,1,1
jammies,0.6931645408257223,0,1
pop,0.054084581536052834,17,18
bun,0.4054824683739413,1,2
hang,-1.5293778444947872,59,12
crony,0.4054824683739413,1,2
doubt,-0.4054477478423875,14,9
mention,0.24513981829876197,17,22
north,-1.624688024299112,263,51
indian,-0.14516464957872094,36,31
raja,0.6931645408257223,0,1
unattractive,0.6931645408257223,0,1
lord,-0.9985114698453503,37,13
tally,-0.6931298202941684,1,0
independent,-0.6744376872820159,52,26
rule,-0.09169106622372217,193,176
gibraltar,0.6931645408257223,0,1
expat,0.8473152206529805,2,6
cry,-0.49897380585321083,27,16
assist,-1.0216338872662045,49,17
despise,1.0986296489338867,1,5
episode,-2.1972072170704426,71,7
trigger,0.4520024840088341,6,10
robot,-2.3513578968977007,20,1
kiss,-1.1394169229225881,24,7
haven,-0.5306108907963936,16,9
divide,-1.3437173864353178,22,5
fear,-0.28766471218600403,75,56
beg,-0.6931298202941684,1,0
par,1.0986296489338867,0,2
ut,0.2876994327175578,2,3
address,-0.5655685946561495,293,166
waste,1.5353473005461555,13,64
irregular,0.6931645408257223,0,1
lingo,1.0986296489338867,0,2
democrat,0.48886407731299236,91,149
sob,1.7917768294938319,0,5
general,-0.8919806790393336,182,74
jump,-2.1316099345846293,58,6
king,-0.712932447590348,101,49
heap,1.7360265776985448e-05,1,1
united,-0.9298790236641569,369,145
bring,-0.14569445091561692,235,203
cum,1.7360265776985448e-05,2,2
pride,-0.2762360163623814,28,21
wood,-3.1986557572849046,48,1
share,-1.2666240114016685,652,183
mistake,0.7419547049951543,9,20
lecture,1.3863117213856675,3,15
front,-2.140048803230494,67,7
crush,-1.7047307319726483,21,3
dependent,-1.0985949284023326,8,2
account,-1.0176258658686657,82,29
unavailable,1.0986296489338867,0,2
springer,0.6931645408257223,0,1
base,-0.4328467220305018,110,71
fucker,2.197241937601996,0,8
weed,-0.9808118927459494,7,2
cant,0.5863965654000162,78,141
respect,-0.47847288285727757,70,43
none,-0.3184363708527577,10,7
sell,-1.270445185328992,56,15
fine,-2.1517448429936854,42,4
el,-1.2070755713964028,106,31
tea,-1.3437173864353178,45,11
weapon,2.041237689125415,9,76
ear,-0.28766471218600403,7,5
house,-0.22879934612882877,1148,913
credit,-1.7330345081355,214,37
thoroughness,0.6931645408257223,0,1
father,-1.6602789694018145,241,45
hurry,0.4054824683739413,1,2
drink,-1.003284748598008,29,10
milk,-0.8649800772208276,18,7
morning,-1.4815871806584386,703,159
smack,1.0986296489338867,0,2
food,-1.073277120418043,233,79
love,-1.301593913624075,429,116
downer,0.6931645408257223,0,1
rubbish,1.6094552726998774,0,4
junction,-1.6094205521683234,9,1
twat,1.9459275093210902,0,6
promise,0.0966441959548486,68,75
heart,-1.324034691976893,217,57
despite,-0.8176925429359305,110,48
slap,2.197241937601996,0,8
car,-2.8903543976303876,143,7
river,-2.653224604341438,70,4
monster,0.2623816247332679,9,12
sneak,-1.0985949284023329,5,1
dat,0.2876994327175578,2,3
catch,-1.7047307319726486,54,9
traffic,-0.19033636822544203,74,61
web,-1.9095251446186616,26,3
measure,-0.46607236965882226,101,63
james,-2.2270601802201235,101,10
savage,0.4054824683739413,1,2
jew,1.0033194691295617,10,29
cope,-0.8109128559505518,8,3
crisis,0.22150665148396015,120,150
rumor,-2.3978779125325937,32,2
hater,1.3217732002480964,3,14
spread,-1.9660954961070558,149,20
accepted,-1.558127257780773,18,3
assault,-0.41818677361981726,78,51
air,-1.2909668210497889,319,87
india,0.38374248173753533,61,90
representative,-0.34226884622085596,206,146
london,-1.2611138579001078,59,16
bound,-0.25129706801512924,8,6
flight,-2.3476881680087383,135,12
arrest,-0.750288234134117,35,16
prison,-0.03277246255721383,30,29
crap,2.5649667177273137,0,12
drag,-0.4228394905542566,28,18
traitor,2.5974019934804677,6,93
rest,-0.8774335382921142,100,41
shame,2.197241937601996,6,62
winner,-2.2708190344136883,154,15
heel,0.916308092139932,1,4
walk,-1.5284514896346562,82,17
cunt,1.3863117213856675,1,7
germ,-1.791742108962278,11,1
woodpecker,0.6931645408257223,0,1
vent,0.6931645408257223,0,1
gate,-0.08699401672385292,11,10
street,-0.5108082635002138,149,89
pressure,-1.824531931785269,30,4
sigint,0.6931645408257223,0,1
email,-0.34482312602595255,119,84
russian,0.29628317640894924,28,38
seth,-2.6390399693494815,27,1
book,-0.7046906426952444,86,42
model,-2.2913944321301436,88,8
launch,-2.1913420976180444,169,18
nuke,0.2231609115799867,7,9
korea,-2.57586106772795,91,6
china,-1.7466216736818085,194,33
id,-0.1823041965281778,47,39
brain,-1.000614520042129,67,24
vagina,-1.3862770008541137,15,3
misogynistic,1.7917768294938319,0,5
beef,-2.7245621427876436,60,3
unhappy,-0.22312619104843281,4,3
sit,-0.49467888157033,40,24
bench,0.4054824683739413,1,2
cold,-1.452234968645911,46,10
memphis,-0.4054477478423875,2,1
duke,-1.9458927887895363,20,2
jay,-3.1060629704570792,66,2
review,-1.0325331777242401,204,72
government,-0.3787146856453187,608,416
slam,-1.791742108962278,29,4
trust,0.707763340246875,33,68
benefit,-0.6708240627798702,265,135
african,-1.5581272577807728,56,11
negro,1.6094552726998774,0,4
scar,-1.5040600365104972,8,1
aa,-0.28766471218600403,3,2
pole,0.4054824683739413,5,8
location,-1.3437173864353178,45,11
poland,1.7360265776985448e-05,1,1
crime,1.7360265776985448e-05,77,77
jacob,-2.3978779125325937,21,1
university,-2.2082570532570274,181,19
example,-0.9582375707074103,72,27
integrity,-0.6061184433045388,10,5
settle,-0.15413331956148138,20,17
tone,-0.4054477478423875,2,1
charge,-0.3639480169356347,58,40
looney,0.4054824683739413,1,2
teen,-1.738253424011292,90,15
ov,1.9459275093210902,0,6
puppet,2.3979126330641476,0,10
equipment,-1.452234968645911,46,10
personnel,-3.583501578190333,71,1
warn,-3.044505077457646,41,1
opposition,1.1272030213779427,22,70
reject,-0.04254225415301901,47,45
eu,-0.6931298202941684,31,15
assistance,-0.9668256507712096,141,53
navel,0.6931645408257223,0,1
cell,-2.1316099345846293,58,6
karma,0.2231609115799867,3,4
number,-1.0833274562715443,194,65
wild,1.7360265776985448e-05,2,2
goose,1.0986296489338867,0,2
jealous,0.6931645408257223,3,7
write,-0.6567621761232936,53,27
few,-0.6513902141214032,304,158
firearm,-2.2512744383407184,18,1
gravitas,0.6931645408257223,0,1
grab,1.252780328761145,3,13
sleeve,1.0986296489338867,0,2
tissue,-1.0985949284023329,5,1
stirrer,0.6931645408257223,0,1
straw,0.8473152206529805,2,6
video,-0.8444891514841562,476,204
crowd,-1.8971026246201044,79,11
shout,-1.2367452668831498,30,8
other,-0.7823317786636167,456,208
precious,0.6931645408257221,4,9
cd,-1.6094205521683234,9,1
diamond,-1.9458927887895363,13,1
kitty,-1.6094205521683234,9,1
high,-1.349677848405784,616,159
brow,1.7360265776985448e-05,1,1
funny,-0.5355008760905852,40,23
leviticus,0.6931645408257223,0,1
stone,-1.6094205521683234,39,7
farmer,-1.6274390576710018,111,21
possibility,-1.2527456082295911,13,3
goal,-0.9554940847616595,64,24
defense,-1.3614618317343898,198,50
sniff,-0.28766471218600403,3,2
capability,1.4351018855550994,9,41
ignorance,1.7917768294938319,3,23
past,-0.4085011853292778,163,108
social,-0.7037119296247054,94,46
movement,-0.669032268715108,40,20
condition,-1.4423664675051573,54,12
tactic,0.5596331482011996,3,6
bill,-0.3461569621618866,1014,717
many,-0.5366616423265477,430,251
enemy,0.7309048688085693,25,53
cia,-1.2237580713563387,16,4
operative,-2.4848892895222234,23,1
accuse,1.7360265776985448e-05,3,3
mastermind,-0.6931298202941684,1,0
wmd,0.6931645408257223,0,1
deed,1.6094552726998774,1,9
verge,-1.0985949284023329,2,0
beer,-1.9458927887895363,34,4
boom,1.5404624012129258,5,27
constellation,1.7360265776985448e-05,1,1
brand,-1.5339129996601784,50,10
soar,-1.8458093302325538,18,2
sceptre,0.6931645408257223,0,1
realm,0.6931645408257223,0,1
bother,-0.15413331956148124,6,5
scruple,0.6931645408257223,0,1
moral,0.17437074741055467,20,24
deplorable,2.302602453259823,0,9
aar,0.6931645408257223,0,1
feast,0.6931645408257223,0,1
entire,-0.7502882341341172,107,50
actual,1.4351018855550994,4,20
family,-0.734111164667362,1045,501
bellowing,0.6931645408257223,0,1
bull,-2.6390399693494815,55,3
little,-0.4315588918460734,96,62
incompetence,1.7360265776985448e-05,2,2
incompetent,2.0149203808080416,1,14
area,-1.750920114442023,287,49
garbage,1.252780328761145,1,6
distribution,1.7360265776985448e-05,8,8
boil,-0.28766471218600403,3,2
gutter,1.3863117213856675,0,3
playground,0.2876994327175578,2,3
good,-1.5101655940729821,574,126
doctor,-0.15948951876200637,155,132
court,-0.2645114072112872,184,141
serve,-1.8397513281486388,383,60
public,-1.140559127501365,437,139
ruling,-0.08514044807453003,48,44
favour,1.7360265776763407e-05,4,4
hide,-0.20065333519637424,10,8
central,-1.0226090214244108,113,40
capture,-0.5798011349871655,24,13
local,-1.3073139570473125,498,134
open,-0.9831456160921693,285,106
future,-1.25138413763127,366,104
wrestling,-0.9162733716083782,4,1
stage,-2.043056537243184,53,6
save,-0.8904892544526634,133,54
crock,0.6931645408257223,0,1
saw,-0.424865833699489,51,33
loser,1.3122037492319458,6,25
drake,-0.9808118927459494,15,5
album,-1.6292231794645031,50,9
playlist,1.2039901645917128,2,9
sentence,0.5108429840317675,2,4
appeal,0.09098913847150364,20,22
young,-1.9161508195907988,264,38
jail,0.19107259702848625,18,22
cab,0.6931645408257223,1,3
daughter,-0.8328917626693271,45,19
military,-0.41792192206756323,362,238
slide,-1.6094205521683234,14,2
ally,-0.7339518148144235,49,23
five,-0.5978196404898436,99,54
nigerian,-1.5040600365104972,17,3
cowardice,1.3863117213856675,0,3
rate,-0.7210858975607585,398,193
fit,0.06064198208221166,15,16
graph,-0.4054477478423875,2,1
immigrant,0.17286017310518775,52,62
filth,0.4054824683739413,1,2
violence,-0.41395843751029604,176,116
background,-1.5939163656323583,63,12
hustler,0.6931645408257223,0,1
banking,0.48552517604747764,15,25
sham,1.3863117213856675,0,3
view,-0.900769185072413,127,51
generation,-1.1426549181963632,115,36
flyer,0.916308092139932,1,4
angry,-0.7672377924478901,27,12
winery,0.6931645408257223,0,1
transition,-0.05127593412177368,19,18
whole,-0.38439433864455513,46,31
league,-0.8909555636240883,38,15
scam,0.10010081882275944,18,20
win,-0.5859609858795584,220,122
safe,-0.9473639586784093,244,94
illegal,1.2993003443960376,14,54
absolute,1.2729830360786645,6,24
left,-0.48128582423389205,177,109
voting,0.6931645408257221,53,107
harbor,-3.4964902012007033,32,0
criminal,0.8700952489848004,30,73
citizen,-0.2762360163623814,115,87
dead,-1.0744973768232724,81,27
pawn,1.0986296489338867,0,2
native,-1.2163779640587165,53,15
silver,-2.2617457382080137,47,4
bead,0.6931645408257223,0,1
necklace,0.6931645408257223,0,1
nick,-0.4054477478423875,23,15
stick,0.5306456113279472,9,16
plan,-0.3752947096717001,440,302
donor,1.2039901645917128,2,9
arkansas,-1.791742108962278,35,5
abortion,0.5306456113279472,29,50
new,-1.1541367137146752,2035,641
york,-0.9613938068888477,169,64
selection,-1.203955444060159,9,2
clip,-0.9444442485750746,17,6
ok,0.539013860998464,27,47
carry,-1.7047307319726486,54,9
passport,-1.8971026246201044,19,2
repeal,0.22827601224675714,77,97
religious,0.9444789691066283,20,53
church,-0.6466098046592756,41,21
most,-0.31351025251670195,404,295
standard,-1.496625058022979,66,14
value,-0.8241580827005724,56,24
straight,-1.0678232697355792,31,10
porn,0.8362653844663956,12,29
fraud,-0.23178425379154738,57,45
wow,0.23363221144728213,18,23
retort,0.6931645408257223,0,1
lover,-0.6931298202941684,11,5
minority,-1.3694698825377325,58,14
fag,1.0986296489338867,0,2
timothy,1.7360265776985448e-05,1,1
fund,-0.10006609829120562,125,113
torture,1.0986296489338867,1,5
center,-1.682369551814491,397,73
unborn,1.7360265776763407e-05,9,9
silence,-0.9444442485750746,35,13
found,-1.8442601432457246,214,33
quiet,0.15416804009303514,5,6
figure,-0.13351403235874573,7,6
weakness,0.916308092139932,3,9
grammar,0.4054824683739413,1,2
joke,0.5280847904662738,22,38
ra,1.5040947570420509,1,8
ro,-0.587769304636342,8,4
clean,0.36626175522065996,51,74
lawyer,-0.6931298202941686,9,4
regulate,-1.9458927887895363,13,1
such,-0.010564749064760055,189,187
common,-1.18656370134829,94,28
sc,0.11780039592216032,15,17
excuse,1.0663687867156653,20,60
twist,-1.2527456082295911,6,1
low,-0.40544774784238735,158,105
regime,1.4403789426559435,8,37
skittle,1.0986296489338867,0,2
best,-0.9954106921671021,275,101
corporate,-0.5212795633675091,31,18
troll,1.5581619783123268,3,18
landlord,0.6931645408257223,0,1
poor,0.8266959334502448,27,63
service,-1.8243630271315443,1183,190
agent,-1.1239127363866226,39,12
switch,-2.3025677327282685,39,3
live,-1.4423664675051573,549,129
impress,-1.0985949284023329,5,1
city,-2.3603265668804614,391,36
tornado,-1.2909668210497889,39,10
couple,-1.115986671114202,57,18
fleet,-1.6094205521683234,9,1
drone,-1.036074571420999,30,10
ax,-0.4054477478423875,2,1
contempt,0.587804025167896,9,17
key,-1.0498047642329007,79,27
attempt,0.7129671681219016,24,50
insufferable,0.6931645408257223,0,1
stroke,-1.3862770008541137,23,5
yell,-0.13351403235874573,7,6
shook,1.3863117213856675,0,3
bridge,-0.6285912991565974,59,31
classic,-0.3448231260259527,23,16
gatekeeper,0.6931645408257223,0,1
build,-0.7949125146041107,92,41
wall,-0.8037953881816879,104,46
hard,-0.379472261439127,208,142
treat,-0.8915807590180067,99,40
dentist,0.6931645408257223,0,1
fix,-0.25003364396835714,112,87
tooth,-0.6931298202941684,3,1
comet,-1.7047307319726483,10,1
ping,-1.0985949284023329,2,0
pong,1.7360265776985448e-05,1,1
gun,-0.481371591205084,211,130
customer,-0.6684372077037968,79,40
unprofessional,1.7360265776985448e-05,2,2
behaviour,1.3863117213856675,1,7
thug,1.0986296489338867,3,11
masquerade,-0.6931298202941684,1,0
spree,-0.22312619104843281,4,3
loose,0.916308092139932,1,4
customary,0.6931645408257223,0,1
british,-0.7621226917811199,29,13
arrogance,1.6094552726998774,0,4
belief,1.48809441569561,13,61
true,-0.6112998020465363,128,69
spur,-0.9162733716083783,34,13
jason,-0.641836525906618,18,9
horror,-1.5260389432292722,22,4
artist,-1.0560353139835368,22,7
maniac,1.0986296489338867,0,2
mask,1.7360265776985448e-05,1,1
fault,-0.6931298202941686,21,10
footstep,-0.9162733716083782,4,1
dictatorship,2.6390746898810353,0,13
old,-0.9016745721872255,169,68
southern,0.34832405453399257,23,33
confederate,1.3863117213856675,0,3
apologist,1.0986296489338867,0,2
beating,-0.6931298202941684,11,5
drum,1.3863117213856675,0,3
saudi,-0.6931298202941684,35,17
arabia,-0.8209631918040535,24,10
prepared,-0.035073959545493236,28,27
meeting,-1.9361047824233735,609,87
whinny,0.6931645408257223,0,1
wimp,1.3863117213856675,0,3
ambassador,-2.302567732728269,69,6
kenyan,0.6931645408257223,0,1
taunt,0.4054824683739413,1,2
first,-1.5749343760971541,569,117
cool,-1.5314590106986115,36,7
club,-2.0455226297383775,115,14
dedication,-1.6894632598418597,64,11
swedish,1.7360265776985448e-05,1,1
goth,0.6931645408257223,0,1
vibe,-0.9162733716083782,9,3
entourage,-0.4054477478423875,2,1
fun,-2.3353575555512593,123,11
kobe,0.6931645408257223,0,1
hop,-0.3022635116071567,22,16
hispanic,0.19238925291323292,32,39
convert,-1.3862770008541137,7,1
sexism,2.3979126330641476,0,10
peach,-2.0148856602764877,14,1
cotton,-1.7047307319726483,10,1
drive,-2.545513911338658,101,7
vehicle,-2.456718412555527,69,5
pedestrian,-1.791742108962278,11,1
stockholm,0.4054824683739413,1,2
cow,0.6931645408257223,11,23
slaughter,0.2876994327175578,2,3
form,-1.1136328057668734,66,21
partiality,0.6931645408257223,0,1
foul,0.9808466132775031,2,7
responsible,0.3994034222975591,54,81
massacre,-1.299265623864484,10,2
two,-0.9162733716083783,279,111
expose,0.34832405453399257,11,16
three,-0.40060512336659937,102,68
design,-0.7672377924478901,55,25
star,-2.8743540562839467,247,13
sea,-0.5705274982018359,45,25
down,-0.308163233734345,229,168
assassination,0.6931645408257223,1,3
irony,1.7360265776985448e-05,8,8
