,loglikelihood,Non-Bias,Bias
arm,-0.9852662430953297,74,27
iran,-0.4382375706653784,61,39
sunni,0.6931645408257223,1,3
much,-0.587769304636342,278,154
great,-2.137716440657138,1712,201
global,-1.4803902924245926,166,37
threat,0.11508669005056432,81,91
trash,2.036899287526817,2,22
dream,-0.5901818510417259,82,45
aspiration,1.7360265776985448e-05,1,1
voice,-0.9751138716313116,174,65
opinion,-0.5705274982018359,45,25
ip,1.6094552726998774,0,4
bible,-1.6094205521683234,9,1
trick,-0.4054477478423875,5,3
mama,1.7360265776763407e-05,4,4
passion,-0.5306108907963936,16,9
dread,1.3863117213856675,0,3
cat,-0.5946897474809159,28,15
eq,0.6931645408257223,0,1
mon,-0.8472805001214265,6,2
headphone,-1.2527456082295911,6,1
nappy,0.6931645408257223,0,1
brushing,0.6931645408257223,0,1
hair,-0.4054477478423875,20,13
wave,-1.0985949284023326,17,5
sound,-0.546526346102293,37,21
discrimination,0.08457474829383997,33,36
predator,1.7360265776985448e-05,15,15
music,-2.1177430457161956,132,15
lock,1.7227839580068804,4,27
ate,-0.6931298202941686,9,4
orange,-0.7513987284181441,52,24
suck,1.6864163138360055,4,26
bot,1.7917768294938319,0,5
hold,-1.0787923011061533,299,101
gym,-1.7047307319726483,10,1
abnormal,1.0986296489338867,0,2
titan,-2.0148856602764877,14,1
speak,-1.3661902422873764,344,87
ex,0.5306456113279472,9,16
milan,-0.4054477478423875,2,1
fruit,-2.120246175934314,24,2
fox,-0.28449513742472493,104,78
misery,1.3863117213856675,0,3
focus,-0.05127593412177368,119,113
park,-2.101612096389421,318,38
scream,0.916308092139932,1,4
well,-1.0056488158928885,461,168
attention,-1.4098074982643078,85,20
check,-1.8523667307787128,407,63
sarcasm,0.2876994327175578,2,3
ability,-1.0761220725502743,87,29
cream,-2.120246175934314,24,2
killer,0.15416804009303514,17,20
burn,-0.9162733716083783,24,9
cooking,-2.140048803230494,16,1
plate,2.079458901945613,1,15
slavery,-0.7884400000984934,21,9
laugh,-1.2321263210268556,23,6
x,0.28142981970396247,39,52
rice,0.054084581536052834,17,18
gum,0.6931645408257223,0,1
salon,-0.6931298202941684,5,2
journalist,1.7360265776763407e-05,9,9
fool,1.3863117213856675,7,31
credibility,1.704765452504202,3,21
freak,0.4054824683739413,1,2
b,-0.5212795633675091,127,75
learn,-1.737882939289549,505,88
control,0.09718110871942463,97,107
aggression,0.916308092139932,1,4
son,-1.3769746081918002,106,26
stupidity,1.4663544290592039,2,12
